year,playlist_genre,avg_duration
1957,r&b,2.67045
1957,rock,2.19755
1958,rock,2.441333333333333
1960,r&b,2.6264458333333334
1961,r&b,3.3126666666666664
1962,r&b,2.9388833333333335
1962,rock,2.9388833333333335
1963,r&b,2.7742166666666668
1963,rock,4.072220833333334
1964,r&b,2.201783333333333
1964,rock,2.4522770833333336
1965,latin,2.75
1965,r&b,4.054961111111111
1965,rock,3.51656875
1966,r&b,2.715405555555556
1966,rock,3.9781447916666663
1967,r&b,2.9587100000000004
1967,rap,3.0551166666666663
1967,rock,3.7090695238095237
1968,r&b,2.5564416666666667
1968,rap,4.198041666666667
1968,rock,4.2111175438596495
1969,pop,2.3462166666666664
1969,r&b,2.839275
1969,rap,2.962216666666667
1969,rock,3.939780333333333
1970,pop,2.4375
1970,r&b,3.851840476190476
1970,rap,5.032558333333333
1970,rock,4.046060416666666
1971,r&b,2.7356624999999997
1971,rap,7.266666666666667
1971,rock,5.107876262626262
1972,r&b,3.5995533333333336
1972,rap,4.458
1972,rock,4.1409666666666665
1973,pop,2.8811166666666663
1973,r&b,4.3490866666666665
1973,rap,5.11555
1973,rock,4.451673367697595
1974,pop,4.685783333333333
1974,r&b,3.964535
1974,rap,4.348333333333333
1974,rock,3.8941395522388063
1975,pop,2.537783333333333
1975,r&b,4.477
1975,rock,4.679507912457913
1976,latin,3.8448833333333337
1976,pop,5.067775
1976,r&b,4.428466666666667
1976,rap,4.866666666666666
1976,rock,4.410662777777778
1977,edm,7.03555
1977,pop,3.69
1977,r&b,4.829777777777778
1977,rock,4.132291403508772
1978,edm,6.366916666666667
1978,pop,4.194930952380952
1978,r&b,5.11249
1978,rap,3.235783333333333
1978,rock,4.113020689655173
1979,edm,8.360891666666667
1979,latin,3.4908833333333336
1979,pop,4.1709958333333335
1979,r&b,4.98258
1979,rock,4.25595380952381
1980,edm,6.79845
1980,pop,3.906719444444444
1980,r&b,4.7515133333333335
1980,rock,4.166580392156863
1981,edm,3.8411166666666667
1981,latin,4.07245
1981,pop,4.0362559523809525
1981,r&b,4.383555555555556
1981,rap,4.428883333333333
1981,rock,4.141043686868687
1982,edm,5.780116666666667
1982,latin,4.3533333333333335
1982,pop,4.406056250000001
1982,r&b,4.872803333333334
1982,rap,5.748666666666667
1982,rock,4.118769178082192
1983,edm,6.284883333333334
1983,latin,6.214891666666667
1983,pop,4.59264358974359
1983,r&b,4.86435
1983,rap,5.532216666666667
1983,rock,4.521197163120567
1984,latin,3.805
1984,pop,4.463636842105263
1984,r&b,4.0869100000000005
1984,rap,3.165783333333333
1984,rock,4.259824691358025
1985,latin,5.106627777777778
1985,pop,4.626038888888888
1985,r&b,4.420398888888888
1985,rap,4.46615
1985,rock,4.510856906906907
1986,latin,4.75062
1986,pop,4.459009090909091
1986,r&b,4.709441071428571
1986,rap,4.2997749999999995
1986,rock,4.282417555555556
