year,playlist_genre,danceability,valence,energy,loudness,mode
1993,rock,0.4895686274509804,0.5129019607843137,0.6837058823529412,-9.092196078431373,0.7647058823529411
1994,edm,0.913,0.891,0.292,-16.416,1.0
1994,latin,0.6915454545454546,0.6174545454545455,0.6919090909090909,-10.577727272727271,0.45454545454545453
1994,pop,0.6932666666666666,0.6164000000000001,0.7969333333333334,-9.0584,0.5333333333333333
1994,r&b,0.7154583333333333,0.6133194444444444,0.5997638888888889,-8.097555555555555,0.3888888888888889
1994,rap,0.7639375,0.5952975,0.678125,-7.8501375,0.475
1994,rock,0.46155172413793105,0.46374482758620694,0.6339603448275862,-9.216275862068965,0.7413793103448276
1995,edm,0.689,0.476,0.991,-4.446,0.0
1995,latin,0.7049444444444445,0.734,0.7631111111111112,-7.680111111111111,0.6111111111111112
1995,pop,0.6534615384615384,0.6710769230769231,0.7508461538461538,-8.88223076923077,0.6153846153846154
1995,r&b,0.698328125,0.611296875,0.5539375,-9.212671875,0.609375
1995,rap,0.7481066666666666,0.5774986666666666,0.66868,-7.500613333333334,0.5333333333333333
1995,rock,0.49370833333333336,0.503,0.635,-9.478270833333333,0.8333333333333334
1996,edm,0.79,0.607,0.781,-7.363,0.0
1996,latin,0.6803076923076923,0.6581538461538461,0.7713846153846154,-9.146538461538462,0.6153846153846154
1996,pop,0.6866470588235294,0.7566470588235293,0.7954705882352942,-7.5341176470588245,0.7058823529411765
1996,r&b,0.7243820224719101,0.6136539325842697,0.5371651685393258,-8.23429213483146,0.4943820224719101
1996,rap,0.780621052631579,0.6211052631578947,0.6717578947368421,-7.686589473684211,0.6526315789473685
1996,rock,0.5102,0.5988,0.7262571428571428,-7.376114285714285,0.8285714285714286
1997,latin,0.6887826086956522,0.6561304347826087,0.6551739130434783,-8.753565217391303,0.782608695652174
1997,pop,0.6557499999999999,0.6819166666666666,0.7595833333333334,-8.303083333333333,0.5
1997,r&b,0.7072247191011236,0.547508988764045,0.5229730337078652,-9.019224719101123,0.47191011235955055
1997,rap,0.7530612244897958,0.6138163265306122,0.6741224489795917,-7.169979591836735,0.46938775510204084
1997,rock,0.48053749999999995,0.4476975,0.7215812500000001,-7.826025,0.7875
1998,edm,0.747,0.983,0.973,-6.415,0.0
1998,latin,0.7244285714285714,0.6628571428571428,0.697952380952381,-7.983238095238095,0.6666666666666666
1998,pop,0.676,0.7323076923076923,0.8203846153846153,-8.72953846153846,0.5384615384615384
1998,r&b,0.6875846153846153,0.6027538461538462,0.5566461538461539,-8.597953846153846,0.3230769230769231
1998,rap,0.7829459459459459,0.5929819819819819,0.6775945945945946,-7.151828828828829,0.5675675675675675
1998,rock,0.5519305555555555,0.6208333333333333,0.761888888888889,-7.436319444444444,0.625
1999,edm,0.6789999999999999,0.7133333333333333,0.8416666666666667,-7.067,0.6666666666666666
1999,latin,0.7171538461538461,0.6393461538461539,0.6800384615384616,-8.485384615384616,0.46153846153846156
1999,pop,0.6492777777777777,0.6447222222222222,0.8310555555555555,-6.893111111111111,0.6111111111111112
1999,r&b,0.7146266666666666,0.64088,0.58692,-7.730173333333334,0.44
1999,rap,0.7475280898876404,0.641370786516854,0.7596966292134831,-5.535730337078652,0.651685393258427
1999,rock,0.5127313432835822,0.5333134328358209,0.7404925373134328,-6.776298507462687,0.7164179104477612
2000,edm,0.72325,0.61575,0.80225,-7.453,0.5
2000,latin,0.6567857142857143,0.7518571428571429,0.8030714285714285,-6.569214285714286,0.42857142857142855
2000,pop,0.6612222222222223,0.7165555555555555,0.7894444444444445,-8.014,0.6666666666666666
2000,r&b,0.7209405940594059,0.5961287128712872,0.5791485148514851,-7.743554455445545,0.49504950495049505
2000,rap,0.7713888888888889,0.6746111111111112,0.7327592592592593,-6.339814814814815,0.5740740740740741
2000,rock,0.5251470588235294,0.5807941176470588,0.77425,-6.762970588235294,0.7352941176470589
2001,edm,0.6916666666666668,0.7606666666666667,0.81,-7.857333333333333,1.0
2001,latin,0.674923076923077,0.7130384615384616,0.7236153846153847,-6.444153846153847,0.5769230769230769
2001,pop,0.6222121212121212,0.5735454545454546,0.8023636363636364,-6.5954848484848485,0.6666666666666666
2001,r&b,0.6994948453608247,0.6335247422680412,0.623618556701031,-7.027474226804124,0.5051546391752577
2001,rap,0.7877966101694914,0.6300338983050847,0.720406779661017,-6.0116440677966105,0.5423728813559322
2001,rock,0.506468085106383,0.514563829787234,0.7734042553191489,-6.141563829787234,0.6276595744680851
2002,edm,0.7150000000000001,0.451,0.8175,-5.4517500000000005,0.75
2002,latin,0.6771052631578948,0.6701052631578946,0.7156842105263158,-5.725526315789473,0.631578947368421
2002,pop,0.5248260869565218,0.49121739130434783,0.6201260869565217,-7.689695652173913,0.6086956521739131
2002,r&b,0.7206999999999999,0.62226,0.61697,-7.084199999999999,0.51
2002,rap,0.744462962962963,0.5929685185185185,0.7108888888888889,-5.329648148148148,0.6111111111111112
2002,rock,0.5043389830508475,0.4792050847457627,0.7700847457627119,-6.360254237288135,0.6101694915254238
2003,edm,0.6456,0.5599999999999999,0.8474,-6.408799999999999,0.6
2003,latin,0.7621063829787235,0.7115744680851065,0.7112127659574468,-7.148851063829786,0.48936170212765956
